formula,lg_conductivity,row_id,split,temperature,feat_n_elements,feat_entropy,feat_max_fraction,feat_min_fraction,feat_anion_fraction,frac_K,frac_Ba,frac_Na,frac_Sr,frac_Li,frac_Ca,frac_La,frac_Ce,frac_Pr,frac_Nd,frac_Sm,frac_Eu,frac_Y,frac_Er,frac_Lu,frac_Hf,frac_Mg,frac_Zr,frac_Sc,frac_Ta,frac_Ti,frac_Mn,frac_Nb,frac_Al,frac_V,frac_Zn,frac_Cr,frac_Cd,frac_In,frac_Ga,frac_Fe,frac_Co,frac_Si,frac_Ni,frac_Ag,frac_Sn,frac_Ge,frac_Bi,frac_B,frac_Sb,frac_Te,frac_Mo,frac_P,frac_H,frac_Ru,frac_W,frac_Se,frac_S,frac_I,frac_Br,frac_N,frac_Cl,frac_O,frac_F,feat_electronegativity_mean,feat_electronegativity_min,feat_electronegativity_max,feat_electronegativity_range,feat_electronegativity_std,feat_atomic_mass_mean,feat_atomic_mass_min,feat_atomic_mass_max,feat_atomic_mass_range,feat_atomic_mass_std,feat_atomic_radius_mean,feat_atomic_radius_min,feat_atomic_radius_max,feat_atomic_radius_range,feat_atomic_radius_std,feat_mendeleev_number_mean,feat_mendeleev_number_min,feat_mendeleev_number_max,feat_mendeleev_number_range,feat_mendeleev_number_std,feat_period_mean,feat_period_min,feat_period_max,feat_period_range,feat_period_std,feat_group_mean,feat_group_min,feat_group_max,feat_group_range,feat_group_std,feat_electron_affinity_mean,feat_electron_affinity_min,feat_electron_affinity_max,feat_electron_affinity_range,feat_electron_affinity_std,feat_avg_cationic_radius_mean,feat_avg_cationic_radius_min,feat_avg_cationic_radius_max,feat_avg_cationic_radius_range,feat_avg_cationic_radius_std,feat_oxidation_state_mean,feat_oxidation_state_min,feat_oxidation_state_max,feat_oxidation_state_range,feat_oxidation_state_std
LiGaSiO4,-10.9652893,0,train,298.0,4,1.15374194270109,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,2.6357142857142852,0.98,3.44,2.46,0.9674688203592645,24.10672857142857,6.941,69.723,62.782,19.472516107046456,0.8928571428571428,0.6,1.45,0.85,0.3509462427582356,83.14285714285714,12.0,101.0,89.0,30.106613281226206,2.4285714285714284,2.0,4.0,2.0,0.7284313590846836,13.142857142857142,1.0,16.0,15.0,5.082984821330627,1.1647412237142856,0.30116615,1.461112979,1.159946829,0.4545806541503192,0.3142857142857143,0.0,0.9,0.9,0.3756463816964469,-0.5714285714285714,-2.0,3.0,5.0,1.8405855323893037
LiF,-10.85087436,1,train,476.0,2,0.6931471805599453,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.48,0.98,3.98,3.0,1.5,12.969701599999999,6.941,18.9984032,12.0574032,6.0287016,0.975,0.5,1.45,0.95,0.475,57.0,12.0,102.0,90.0,45.0,2.0,2.0,2.0,0.0,0.0,9.0,1.0,17.0,16.0,8.0,2.009619522,0.61804922,3.401189824,2.7831406039999997,1.3915703019999999,0.56,0.22,0.9,0.68,0.34,0.0,-1.0,1.0,2.0,1.0
(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,-10.8153085691824,2,train,298.0,4,1.1168568321373904,0.5714285714285714,0.07214285714285715,0.5714285714285714,0.0,0.0,0.0,0.0,0.14214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07214285714285715,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,2.5295214285714285,0.98,3.44,2.46,1.064000395863629,22.13977428571428,6.941,47.867,40.925999999999995,14.019717075825598,0.9571785714285714,0.6,1.5,0.9,0.41315887238026316,75.615,12.0,101.0,89.0,32.76872948624736,2.500714285714286,2.0,4.0,2.0,0.8237541613657238,10.286428571428571,1.0,16.0,15.0,6.658407260366247,0.9086611985571427,-0.42,1.461112979,1.8811129789999999,0.6800699352644644,0.37247142857142856,0.0,0.9,0.9,0.43033332777417704,0.0007142857142857784,-2.0,4.0,6.0,2.4789109483391933
Li0.96Ga0.96Si2.04O6,-10.62874643,3,train,298.0,4,1.0810473332515333,0.6024096385542169,0.0963855421686747,0.6024096385542169,0.0,0.0,0.0,0.0,0.0963855421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747,0.0,0.0,0.20481927710843376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6024096385542169,0.0,2.7303614457831324,0.98,3.44,2.46,0.9063862388271674,22.77994578313253,6.941,69.723,62.782,16.432960483891293,0.8518072289156625,0.6,1.45,0.85,0.32352033726249974,87.21686746987952,12.0,101.0,89.0,25.77756949331018,2.397590361445783,2.0,4.0,2.0,0.6574825855249278,13.855421686746986,1.0,16.0,15.0,4.332929474873608,1.2533883574698794,0.30116615,1.461112979,1.159946829,0.3950840458036455,0.2706024096385542,0.0,0.9,0.9,0.34676247694333995,-0.8192771084337348,-2.0,3.0,5.0,1.6438610024877627
Li0.68Ga0.68Si2.33O6,-10.50228226,4,train,298.0,4,1.0123814326188916,0.6191950464396285,0.07017543859649124,0.6191950464396285,0.0,0.0,0.0,0.0,0.07017543859649124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017543859649124,0.0,0.0,0.24045407636738905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6191950464396285,0.0,2.782683178534572,0.98,3.44,2.46,0.8656317292873628,22.0399520123839,6.941,69.723,62.782,14.385274157706638,0.8289989680082559,0.6,1.45,0.85,0.3045664312448873,89.50361197110423,12.0,101.0,89.0,22.65654718620022,2.3808049535603715,2.0,4.0,2.0,0.613305322084553,14.25593395252838,1.0,16.0,15.0,3.7869648214771185,1.303336316615067,0.30116615,1.461112979,1.159946829,0.3473269414416541,0.24633642930856559,0.0,0.9,0.9,0.32681831475718737,-0.9576883384932922,-2.0,3.0,5.0,1.50378443203718
(YPO4)0.5(Li3PO4)0.5,-10.1753005,5,train,298.0,4,1.1163670752893367,0.5714285714285714,0.07142857142857142,0.5714285714285714,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,2.5757142857142856,0.98,3.44,2.46,1.0606717163175035,21.405112428571428,6.941,88.90585,81.96485,20.001559121105007,0.9249999999999998,0.6,1.8,1.2000000000000002,0.41822328281160326,74.92857142857143,12.0,101.0,89.0,38.04595770852908,2.357142857142857,2.0,5.0,3.0,0.8112726208286105,11.714285714285712,1.0,16.0,15.0,6.485462550180666,1.0962544222857142,0.3112922,1.461112979,1.149820779,0.43191303332325165,0.3457142857142857,0.0,1.04,1.04,0.41776128326583634,-0.47619047619047616,-2.0,3.0,5.0,1.8201442717729897
Li2P2S6,-10.1079053973095,6,train,298.0,3,0.9502705392332347,0.6,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.182,0.98,2.58,1.6,0.6196902452031983,26.821952399999997,6.941,32.065,25.124,9.949456625296833,1.0899999999999999,1.0,1.45,0.44999999999999996,0.18,76.8,12.0,94.0,82.0,32.43701589234127,2.8,2.0,3.0,1.0,0.4,12.8,1.0,16.0,15.0,5.912698199637793,1.5191942219999999,0.61804922,2.07710426,1.45905504,0.6845057927318244,0.5720000000000001,0.47,0.9,0.43000000000000005,0.16690116836020055,2.033333333333333,1.0,2.5,1.5,0.6091888960832355
Li3Sc2P3O12,-10.0,7,test,298.0,4,1.1058898790247633,0.6,0.1,0.6,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.6755,0.98,3.44,2.46,0.9951355435316337,19.782445499999998,6.941,44.955912,38.014911999999995,10.746136265914403,0.8875000000000001,0.6,1.6,1.0,0.3869350720728221,77.8,12.0,101.0,89.0,36.61229301750984,2.35,2.0,4.0,2.0,0.653834841531101,12.3,1.0,16.0,15.0,6.091797764207213,1.0993045599,0.17938023,1.461112979,1.281732749,0.46537016872329207,0.30600000000000005,0.0,0.9,0.9,0.38930900323521933,-0.5,-2.0,3.0,5.0,1.9017535767461216
Li6SiO4Cl2,-10.0,8,train,298.0,4,1.2047933096947843,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.3076923076923077,0.0,2.143076923076923,0.98,3.44,2.46,1.1425974768407465,15.74116153846154,6.941,35.453,28.512000000000004,10.356787629936113,1.0923076923076922,0.6,1.45,0.85,0.3673429302468837,58.384615384615394,12.0,101.0,89.0,43.12867770099945,2.230769230769231,2.0,3.0,1.0,0.4213250442347432,9.076923076923077,1.0,17.0,16.0,7.508574979638418,1.397516852,0.61804922,3.61272528,2.9946760599999998,1.018141492873083,0.5084615384615385,0.0,0.9,0.9,0.3937120414689309,0.3076923076923077,-2.0,3.0,5.0,1.7269187938956654
Li0.95Mg0.95In0.05PO4,-9.950781977,9,train,298.0,5,1.1764490593658352,0.5755395683453237,0.007194244604316547,0.5755395683453237,0.0,0.0,0.0,0.0,0.13669064748201437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13669064748201437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14388489208633093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5755395683453237,0.0,2.6207913669064746,0.98,3.44,2.46,1.010391379933981,18.76200892086331,6.941,114.818,107.877,10.74846864437673,0.9035971223021582,0.6,1.55,0.9500000000000001,0.38317305892408987,83.2661870503597,12.0,101.0,89.0,29.938203869454842,2.302158273381295,2.0,5.0,3.0,0.5040080543348775,11.870503597122301,1.0,16.0,15.0,6.379863254182913,0.9781876381294963,-0.42,1.461112979,1.8811129789999999,0.655310397416514,0.32647482014388485,0.0,0.94,0.94,0.3938426507358449,-0.4796163069544364,-2.0,3.0,5.0,1.7944381198940706
